host_id,Pkey,zipcode,bedrooms,price,rent
69018624,KT11,KT1,1,23,38.6
18154504,KT21,KT2,1,50,36.4
75741819,KT21,KT2,1,24,36.4
77078182,KT21,KT2,1,50,36.4
113972982,KT31,KT3,1,25,31.7
3430124,KT11,KT1,1,56,38.6
115691984,KT11,KT1,1,35,38.6
33096320,KT22,KT2,2,135,45.7
54385939,KT31,KT3,1,65,31.7
107474644,KT22,KT2,2,60,45.7
3822323,KT21,KT2,1,39,36.4
56080333,KT24,KT2,4,239,62.9
27697324,KT31,KT3,1,32,31.7
72718519,KT21,KT2,1,20,36.4
8581542,KT51,KT5,1,40,33.1
65568682,KT61,KT6,1,50,34.4
34769575,KT21,KT2,1,23,36.4
47654068,KT61,KT6,1,35,34.4
32264660,KT21,KT2,1,45,36.4
97756975,KT51,KT5,1,40,33.1
4755566,KT21,KT2,1,60,36.4
32702986,KT11,KT1,1,60,38.6
45469611,KT12,KT1,2,150,47
90757380,KT21,KT2,1,60,36.4
26831951,KT31,KT3,1,22,31.7
83699073,KT21,KT2,1,28,36.4
66626449,KT61,KT6,1,45,34.4
15082436,KT12,KT1,2,85,47
89813442,KT21,KT2,1,30,36.4
32033043,KT21,KT2,1,55,36.4
47094767,KT21,KT2,1,30,36.4
35215305,KT54,KT5,4,300,62.7
35316592,KT21,KT2,1,45,36.4
28439533,KT31,KT3,1,72,31.7
65800295,KT14,KT1,4,199,63.7
1889832,KT31,KT3,1,80,31.7
33889201,KT24,KT2,4,575,62.9
56469941,KT31,KT3,1,42,31.7
2526745,KT61,KT6,1,25,34.4
93463316,KT91,KT9,1,32,28.4
10407160,KT11,KT1,1,25,38.6
8129765,KT11,KT1,1,82,38.6
107363222,KT52,KT5,2,80,40.6
26371060,KT21,KT2,1,59,36.4
87429490,KT41,KT4,1,43,32.3
4948856,KT21,KT2,1,75,36.4
23205798,KT51,KT5,1,50,33.1
52777957,KT31,KT3,1,60,31.7
51206977,KT31,KT3,1,29,31.7
52630573,SW151,SW15,1,50,45.1
32839572,KT11,KT1,1,60,38.6
50718952,KT11,KT1,1,29,38.6
104823914,KT51,KT5,1,28,33.1
16735895,KT21,KT2,1,65,36.4
21799011,KT21,KT2,1,75,36.4
55529657,KT31,KT3,1,57,31.7
26551969,KT21,KT2,1,155,36.4
73134251,KT22,KT2,2,75,45.7
35846457,KT53,KT5,3,149,54.4
12794782,KT21,KT2,1,49,36.4
22791764,KT11,KT1,1,40,38.6
22920610,KT91,KT9,1,29,28.4
6543906,KT31,KT3,1,52,31.7
6543906,KT31,KT3,1,40,31.7
10095377,KT12,KT1,2,45,47
76081811,Kt53,Kt5,3,150,54.4
1889832,KT31,KT3,1,60,31.7
109310548,KT51,KT5,1,21,33.1
88500601,KT11,KT1,1,75,38.6
94352925,KT11,KT1,1,55,38.6
1888792,KT61,KT6,1,65,34.4
43159893,KT62,KT6,2,99,44
47707771,KT11,KT1,1,25,38.6
97924595,KT61,KT6,1,40,34.4
64907250,KT11,KT1,1,60,38.6
28704848,KT21,KT2,1,29,36.4
31551389,KT21,KT2,1,45,36.4
27396120,KT21,KT2,1,72,36.4
46117277,KT21,KT2,1,60,36.4
105194165,KT11,KT1,1,40,38.6
45184933,KT41,KT4,1,42,32.3
3903207,KT31,KT3,1,29,31.7
45126966,KT41,KT4,1,45,32.3
48473937,KT11,KT1,1,60,38.6
13845085,SW151,SW15,1,65,45.1
2157318,KT13,KT1,3,67,55
69072328,KT21,KT2,1,60,36.4
94155434,KT61,KT6,1,34,34.4
91928628,KT61,KT6,1,120,34.4
22648205,KT14,KT1,4,200,63.7
22913585,SW151,SW15,1,70,45.1
16057345,KT12,KT1,2,150,47
68553935,KT11,KT1,1,75,38.6
43483271,SW201,SW20,1,35,39.9
23343766,KT23,KT2,3,250,54
3534259,KT21,KT2,1,70,36.4
71897892,KT13,KT1,3,160,55
70450161,KT11,KT1,1,68,38.6
104200285,KT22,KT2,2,144,45.7
105194165,KT11,KT1,1,50,38.6
21129575,KT23,KT2,3,250,54
19372708,KT11,KT1,1,50,38.6
3086158,KT31,KT3,1,45,31.7
47965749,KT14,KT1,4,350,63.7
11629266,KT11,KT1,1,35,38.6
97117021,KT31,KT3,1,25,31.7
24608786,KT54,KT5,4,175,62.7
11828397,KT11,KT1,1,60,38.6
3360710,KT52,KT5,2,100,40.6
54501587,KT21,KT2,1,57,36.4
2216702,KT31,KT3,1,25,31.7
44854420,KT62,KT6,2,240,44
9402045,KT31,KT3,1,22,31.7
3179560,KT31,KT3,1,60,31.7
27769169,KT62,KT6,2,100,44
38363495,KT31,KT3,1,65,31.7
17066316,KT21,KT2,1,60,36.4
107782426,KT11,KT1,1,15,38.6
16319891,KT11,KT1,1,50,38.6
10097876,KT41,KT4,1,28,32.3
6543906,KT31,KT3,1,52,31.7
39326230,KT31,KT3,1,21,31.7
36418899,KT21,KT2,1,23,36.4
2526454,KT91,KT9,1,85,28.4
33619747,KT61,KT6,1,45,34.4
26464059,KT11,KT1,1,50,38.6
50044324,KT11,KT1,1,38,38.6
18158977,KT11,KT1,1,49,38.6
22767318,KT62,KT6,2,80,44
3534259,KT21,KT2,1,65,36.4
26689489,KT21,KT2,1,55,36.4
30798165,KT91,KT9,1,54,28.4
4554173,KT11,KT1,1,65,38.6
28536352,KT31,KT3,1,44,31.7
69609516,KT11,KT1,1,41,38.6
33292052,kt31,kt3,1,52,31.7
75596347,KT21,KT2,1,100,36.4
30134639,KT61,KT6,1,89,34.4
15815152,Kt51,Kt5,1,32,33.1
39060639,KT51,KT5,1,31,33.1
12408381,KT41,KT4,1,90,32.3
10775491,KT61,KT6,1,32,34.4
57661153,KT51,KT5,1,40,33.1
29797177,KT31,KT3,1,40,31.7
2030713,KT21,KT2,1,60,36.4
61924835,KT11,KT1,1,85,38.6
6543906,KT31,KT3,1,60,31.7
47299467,KT61,KT6,1,99,34.4
21951870,KT31,KT3,1,40,31.7
3534259,KT21,KT2,1,70,36.4
77120968,KT21,KT2,1,28,36.4
35726991,KT12,KT1,2,110,47
32839572,KT11,KT1,1,40,38.6
46478469,KT31,KT3,1,50,31.7
20926404,KT24,KT2,4,275,62.9
81142852,KT21,KT2,1,90,36.4
82868127,KT31,KT3,1,60,31.7
16864616,KT61,KT6,1,40,34.4
4922173,KT11,KT1,1,35,38.6
93689607,KT31,KT3,1,28,31.7
7065592,KT11,KT1,1,100,38.6
38452731,KT31,KT3,1,20,31.7
3059534,KT61,KT6,1,50,34.4
22988905,KT11,KT1,1,100,38.6
51206977,KT31,KT3,1,26,31.7
13214455,KT21,KT2,1,45,36.4
46779014,KT11,KT1,1,35,38.6
49348585,NW101,NW10,1,65,36.3
20838021,KT31,KT3,1,35,31.7
28324843,KT11,KT1,1,50,38.6
65199065,KT61,KT6,1,90,34.4
2413601,KT21,KT2,1,42,36.4
72921587,KT13,KT1,3,147,55
63262651,KT22,KT2,2,80,45.7
36862552,KT21,KT2,1,47,36.4
28980680,KT31,KT3,1,85,31.7
10336212,KT11,KT1,1,79,38.6
115069185,KT21,KT2,1,39,36.4
67904006,KT21,KT2,1,60,36.4
52632402,KT11,KT1,1,45,38.6
15360548,SW151,SW15,1,72,45.1
52632402,KT13,KT1,3,200,55
36456894,KT21,KT2,1,50,36.4
105811068,KT21,KT2,1,50,36.4
37333526,KT61,KT6,1,204,34.4
31358376,KT31,KT3,1,45,31.7
45511198,KT21,KT2,1,38,36.4
11457757,KT12,KT1,2,175,47
41888299,KT21,KT2,1,30,36.4
56469941,KT31,KT3,1,38,31.7
2213565,KT21,KT2,1,45,36.4
20023995,KT61,KT6,1,30,34.4
101540801,Kt31,Kt3,1,23,31.7
110937451,KT21,KT2,1,50,36.4
56469941,KT31,KT3,1,42,31.7
27649765,KT62,KT6,2,59,44
1794020,KT62,KT6,2,99,44
12665529,KT21,KT2,1,25,36.4
15613593,KT11,KT1,1,60,38.6
35215305,KT54,KT5,4,250,62.7
30952945,KT61,KT6,1,40,34.4
45126966,KT42,KT4,2,85,40.7
17249646,KT31,KT3,1,19,31.7
9888566,KT21,KT2,1,85,36.4
9056962,KT31,KT3,1,15,31.7
37754834,KT61,KT6,1,50,34.4
15880069,KT23,KT2,3,150,54
10433380,KT61,KT6,1,35,34.4
69609516,KT12,KT1,2,99,47
12535058,KT14,KT1,4,180,63.7
10245600,KT22,KT2,2,85,45.7
29618501,SW201,SW20,1,24,39.9
8163110,KT21,KT2,1,85,36.4
67763598,KT62,KT6,2,70,44
15573617,KT13,KT1,3,150,55
70192478,KT23,KT2,3,100,54
26759114,KT13,KT1,3,249,55
36933760,KT21,KT2,1,58,36.4
52741688,KT61,KT6,1,60,34.4
8077866,KT61,KT6,1,65,34.4
35056584,KT51,KT5,1,40,33.1
30190840,Kt11,Kt1,1,50,38.6
33889201,SW153,SW15,3,390,63.6
117250952,KT11,KT1,1,70,38.6
97223602,KT11,KT1,1,25,38.6
18868250,KT91,KT9,1,35,28.4
35271724,KT12,KT1,2,150,47
94505200,KT61,KT6,1,40,34.4
48645021,KT21,KT2,1,40,36.4
12665529,KT21,KT2,1,25,36.4
43950945,KT12,KT1,2,122,47
78038208,KT61,KT6,1,35,34.4
2271813,KT11,KT1,1,39,38.6
77455144,kt61,kt6,1,30,34.4
105194165,KT11,KT1,1,60,38.6
83012951,KT12,KT1,2,84,47
43483271,SW201,SW20,1,30,39.9
3086158,KT31,KT3,1,45,31.7
151192,KT11,KT1,1,50,38.6
1961527,KT51,KT5,1,25,33.1
76303391,KT23,KT2,3,220,54
67591528,SW151,SW15,1,60,45.1
111738312,KT61,KT6,1,60,34.4
3478187,KT63,KT6,3,83,53
27121841,KT51,KT5,1,40,33.1
35782412,KT11,KT1,1,25,38.6
44989368,KT61,KT6,1,33,34.4
73139947,KT21,KT2,1,74,36.4
18751651,KT22,KT2,2,94,45.7
67904006,KT22,KT2,2,125,45.7
24976001,KT31,KT3,1,85,31.7
105194165,KT11,KT1,1,50,38.6
30049644,KT62,KT6,2,90,44
15315187,KT11,KT1,1,45,38.6
45714216,KT61,KT6,1,45,34.4
19728300,KT61,KT6,1,35,34.4
78038208,KT62,KT6,2,150,44
1731959,KT61,KT6,1,37,34.4
39234812,KT13,KT1,3,185,55
83699073,KT21,KT2,1,30,36.4
51876165,KT21,KT2,1,60,36.4
